"Player.x","Pos1","Tm","Season","Conference","Role","Play","Age","MP","X3P.","X2P.","FT.","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Sean Kilpatrick","SG","CHI","2017-18","Est","Back","No",28,12.3,0.319,0.427,0.889,0.1,1.6,0.9,0.3,0.1,0.7,0.6,4774445
"Semi Ojeleye","PF","BOS","2017-18","Est","Front","No",23,15.8,0.32,0.397,0.61,0.5,1.7,0.3,0.3,0.1,0.3,1.2,1291892
"Serge Ibaka","PF","TOR","2017-18","Est","Front","No",28,27.5,0.36,0.559,0.797,1,5.3,0.8,0.4,1.3,1.2,2.8,20061729
"Shabazz Muhammad","SF","MIL","2017-18","West","Back","No",25,9.7,0.259,0.478,0.78,0.5,1.2,0.3,0.2,0.1,0.1,0.7,1924755
"Shabazz Napier","PG","POR","2017-18","West","Back","No",26,20.7,0.376,0.45,0.841,0.4,1.9,2,1.1,0.2,1.2,1.1,2361359
"Shane Larkin","PG","BOS","2017-18","Est","Back","No",25,14.4,0.36,0.398,0.865,0.3,1.4,1.8,0.5,0,0.6,1.1,1524305
"Shaun Livingston","PG","GSW","2017-18","West","Back","No",32,15.9,0,0.509,0.82,0.5,1.4,2,0.5,0.3,0.8,1.6,7692308
"Shelvin Mack","PG","ORL","2017-18","Est","Back","No",27,19.8,0.345,0.473,0.711,0.3,2.1,3.9,0.8,0.1,1.3,1.3,6000000
"Sindarius Thornwell","SG","LAC","2017-18","West","Back","No",23,15.8,0.377,0.448,0.67,0.5,1.5,0.9,0.7,0.3,0.7,1.7,815615
"Skal Labissière","PF","SAC","2017-18","West","Front","No",21,20.7,0.353,0.459,0.805,1.7,3.2,1.2,0.4,0.8,1.2,2.2,1312611
"Solomon Hill","SF","NOP","2017-18","West","Front","No",26,15.6,0.19,0.35,0.5,0.8,2.3,1.8,0.6,0.1,0.8,1.8,12236535
"Spencer Dinwiddie","PG","BRK","2017-18","Est","Back","No",24,28.8,0.326,0.452,0.813,0.5,2.7,6.6,0.9,0.3,1.6,2.3,1524305
"Stanley Johnson","SF","DET","2017-18","Est","Front","No",21,27.4,0.286,0.439,0.772,0.5,3.2,1.6,1.4,0.2,1.1,2.4,3097800
"Stephen Curry","PG","GSW","2017-18","West","Back","Yes",29,32,0.423,0.595,0.921,0.7,4.4,6.1,1.6,0.2,3,2.2,34682550
"Sterling Brown","SG","MIL","2017-18","Est","Back","No",22,14.4,0.352,0.439,0.875,0.5,2.1,0.5,0.6,0.2,0.5,1.5,815615
"Steven Adams","C","OKC","2017-18","West","Front","No",24,32.7,0,0.631,0.559,5.1,4,1.2,1.2,1,1.7,2.8,22471911
"Taj Gibson","PF","MIN","2017-18","West","Front","No",32,33.2,0.2,0.595,0.768,2.4,4.8,1.2,0.8,0.7,1.1,2.7,14000000
"Tarik Black","C","HOU","2017-18","West","Front","No",26,10.5,0.091,0.638,0.46,1.2,2,0.3,0.4,0.6,0.7,2.1,3290000
"Terrance Ferguson","SG","OKC","2017-18","West","Back","No",19,12.5,0.333,0.612,0.9,0.3,0.5,0.3,0.4,0.2,0.2,1.4,1785000
"Terrence Ross","SG","ORL","2017-18","Est","Back","No",26,25,0.323,0.469,0.75,0.4,2.6,1.6,1.1,0.5,1.2,1.9,10500000
"Terry Rozier","PG","BOS","2017-18","Est","Back","No",23,25.9,0.381,0.41,0.772,0.8,3.9,2.9,1,0.2,1,1.5,1988520
"Thabo Sefolosha","SF","UTA","2017-18","West","Front","No",33,21.2,0.381,0.551,0.815,0.8,3.5,0.9,1.4,0.3,0.8,1.6,5250000
"Thaddeus Young","PF","IND","2017-18","Est","Front","No",29,32.2,0.32,0.531,0.598,2.3,4,1.9,1.7,0.4,1.3,2.2,12921348
"Thomas Bryant","C","LAL","2017-18","West","Front","No",20,4.8,0.1,0.636,0.556,0.2,0.9,0.4,0.1,0.1,0.1,0.4,815615
"Thon Maker","C","MIL","2017-18","Est","Front","No",20,16.7,0.298,0.467,0.699,1,2,0.6,0.5,0.7,0.6,2.2,3086784
"Tim Frazier","PG","WAS","2017-18","Est","Back","No",27,14.2,0.304,0.44,0.767,0.3,1.6,3.3,0.8,0.1,1,1.6,2000000
"Tim Hardaway","SG","NYK","2017-18","Est","Front","No",25,33.1,0.317,0.516,0.816,0.6,3.4,2.7,1.1,0.2,1.6,2.2,16500000
"Timofey Mozgov","C","BRK","2017-18","Est","Front","No",31,11.6,0.222,0.64,0.767,1,2.1,0.4,0.2,0.4,1.1,1.3,15280000
"Timothé Luwawu-Cabarrot","SF","PHI","2017-18","Est","Back","No",22,15.5,0.335,0.431,0.793,0.3,1.1,1,0.2,0.1,0.7,1.9,1594590
"Tobias Harris","PF","LAC","2017-18","Est","Front","No",25,33.4,0.411,0.488,0.829,0.7,4.7,2.4,0.9,0.4,1.3,2.1,16000000
"Tomáš Satoranský","SG","WAS","2017-18","Est","Front","No",26,22.5,0.465,0.544,0.781,1,2.2,3.9,0.7,0.2,1.1,1.8,3000000
"Tony Allen","SF","NOP","2017-18","West","Back","No",36,12.4,0.333,0.506,0.524,0.9,1.2,0.4,0.5,0.1,0.9,2.2,1471382
"Tony Parker","PG","SAS","2017-18","West","Back","No",35,19.5,0.27,0.479,0.705,0.1,1.6,3.5,0.5,0,1.2,0.9,15453126
"Tony Snell","SG","MIL","2017-18","Est","Back","No",26,27.4,0.403,0.49,0.792,0.1,1.8,1.3,0.6,0.4,0.5,1.5,9821429
"Torrey Craig","SF","DEN","2017-18","West","Back","No",27,16.1,0.293,0.57,0.629,1,2.2,0.6,0.3,0.4,0.5,1.6,77250
"Treveon Graham","SG","CHO","2017-18","Est","Back","No",24,16.7,0.412,0.452,0.695,0.7,1.3,0.9,0.5,0,0.4,1.7,1312611
"Trevor Ariza","SF","HOU","2017-18","West","Front","No",32,33.9,0.368,0.519,0.854,0.5,3.9,1.6,1.5,0.2,0.8,2,7400000
"Trevor Booker","PF","IND","2017-18","Est","Front","No",30,17,0.242,0.545,0.71,1.7,3,1.2,0.4,0.3,0.9,1.8,9571137
"Trey Burke","PG","NYK","2017-18","Est","Back","No",25,21.8,0.362,0.556,0.649,0.4,1.6,4.7,0.7,0.1,1.2,1.2,784160
"Trey Lyles","PF","DEN","2017-18","West","Front","No",22,19.1,0.381,0.563,0.706,0.8,4,1.2,0.4,0.5,0.8,1.5,2441400
"Troy Daniels","SG","PHO","2017-18","West","Back","No",26,20.5,0.4,0.419,0.875,0.2,1.5,0.6,0.3,0.1,0.7,1.7,3408520
"Troy Williams","SF","NYK","2017-18","West","Front","No",23,14.6,0.289,0.563,0.667,1,2,0.8,1,0.2,0.9,1.6,1842176
"Tyler Cavanaugh","PF","ATL","2017-18","Est","Front","No",23,13.3,0.36,0.556,0.81,1.2,2.1,0.7,0.2,0.1,0.4,1.6,77250
"Tyler Dorsey","SG","ATL","2017-18","Est","Back","No",21,17.4,0.362,0.393,0.714,0.3,2,1.4,0.3,0.1,0.7,1.1,815615
"Tyler Ennis","PG","LAL","2017-18","West","Back","No",23,12.6,0.25,0.476,0.759,0.4,1.4,1.9,0.6,0.2,0.7,1.4,1524305
"Tyler Johnson","PG","MIA","2017-18","Est","Back","No",25,28.5,0.367,0.491,0.822,0.5,3,2.3,0.8,0.5,1.1,2.1,5821260
"Tyler Ulis","PG","PHO","2017-18","West","Back","No",22,23.4,0.288,0.425,0.832,0.3,1.5,4.4,1,0.1,1.8,1.7,1312611
"Tyler Zeller","C","MIL","2017-18","Est","Front","No",28,16.8,0.357,0.578,0.722,1.7,3,0.7,0.2,0.5,0.7,1.9,1709538
"Tyreke Evans","PG","MEM","2017-18","West","Back","No",28,30.9,0.399,0.482,0.785,0.8,4.3,5.2,1.1,0.3,2.3,1.8,3290000
"Tyrone Wallace","PG","LAC","2017-18","West","Back","No",23,28.4,0.25,0.483,0.782,0.7,2.8,2.4,0.9,0.4,1.5,2.8,77250
"Tyus Jones","PG","MIN","2017-18","West","Back","No",21,17.9,0.349,0.528,0.877,0.2,1.4,2.8,1.2,0.1,0.7,1.3,1471382
"Victor Oladipo","SG","IND","2017-18","Est","Back","Yes",25,34,0.371,0.528,0.799,0.6,4.6,4.3,2.4,0.8,2.9,2.3,21000000
"Vince Carter","SF","SAC","2017-18","West","Back","No",41,17.7,0.345,0.483,0.757,0.3,2.2,1.2,0.7,0.4,0.6,1.7,8000000
"Wade Baldwin","PG","POR","2017-18","West","Back","No",21,11.4,0.8,0.625,0.6,0.1,1,0.7,0.3,0.1,0.6,1.7,2254292
"Wayne Ellington","SG","MIA","2017-18","Est","Back","No",30,26.5,0.392,0.479,0.859,0.3,2.5,1,0.7,0.1,0.7,1.2,6270000
"Wayne Selden","SG","MEM","2017-18","West","Back","No",23,19.8,0.402,0.456,0.746,0.5,1.1,1.9,0.5,0.1,1.5,1.7,1312611
"Wesley Iwundu","SF","ORL","2017-18","Est","Front","No",23,16.5,0.196,0.488,0.723,0.6,1.6,0.9,0.5,0.2,0.5,1.3,1050000
"Wesley Johnson","SF","LAC","2017-18","West","Front","No",30,20.1,0.339,0.471,0.741,0.4,2.5,0.8,1,0.8,0.7,2,5881260
"Wesley Matthews","SF","DAL","2017-18","West","Back","No",31,33.8,0.381,0.441,0.822,0.4,2.7,2.7,1.2,0.3,1.3,2.2,17884175
"Will Barton","SG","DEN","2017-18","West","Back","No",27,33.1,0.37,0.51,0.805,0.9,4.2,4.1,1,0.6,1.8,2.1,3533333
"Willie Cauley-Stein","C","SAC","2017-18","West","Front","No",24,28,0.25,0.506,0.619,1.8,5.2,2.4,1.1,0.9,1.5,2.5,3704160
"Willie Reed","C","DET","2017-18","West","Front","No",27,10.2,0.5,0.672,0.582,0.8,2,0.2,0.2,0.5,0.5,1.3,1471382
"Willy Hernangómez","C","CHO","2017-18","Est","Front","No",23,10.3,0.417,0.566,0.656,1.3,2.5,0.7,0.4,0.3,0.7,1.3,1435750
"Wilson Chandler","SF","DEN","2017-18","West","Front","No",30,31.7,0.358,0.501,0.772,1.4,4,2.1,0.6,0.5,1.2,2.1,12016854
"Yogi Ferrell","SG","DAL","2017-18","West","Back","No",24,27.8,0.373,0.477,0.796,0.3,2.7,2.5,0.8,0.1,1,1.9,1312611
"Zach Collins","C","POR","2017-18","West","Front","No",20,15.8,0.31,0.455,0.643,0.7,2.7,0.8,0.3,0.5,0.9,2,3057240
"Zach LaVine","SG","CHI","2017-18","Est","Back","No",22,27.3,0.341,0.405,0.813,0.4,3.5,3,1,0.2,1.8,2.3,3202217
"Zach Randolph","PF","SAC","2017-18","West","Front","No",36,25.6,0.347,0.503,0.785,1.6,5.1,2.2,0.7,0.2,2,2,12307692
"Zaza Pachulia","C","GSW","2017-18","West","Front","No",33,14.1,0,0.567,0.806,1.3,3.4,1.6,0.6,0.2,1,1.8,3477600
"Zhou Qi","C","HOU","2017-18","West","Front","No",22,6.9,0.105,0.308,0.667,0.3,0.9,0.1,0.1,0.8,0.6,0.8,815615
"Aaron Gordon","PF","ORL","2018-19","Est","Front","No",23,33.8,0.349,0.499,0.731,1.7,5.7,3.7,0.7,0.7,2.1,2.2,21590909
"Aaron Holiday","PG","IND","2018-19","Est","Back","No",22,12.9,0.339,0.459,0.82,0.1,1.2,1.7,0.4,0.3,0.8,1.4,1914480
"Abdel Nader","SF","OKC","2018-19","West","Front","No",25,11.4,0.32,0.513,0.75,0.2,1.7,0.3,0.3,0.2,0.4,1.1,1378242
"Al-Farouq Aminu","PF","POR","2018-19","West","Front","No",28,28.3,0.343,0.514,0.867,1.4,6.1,1.3,0.8,0.4,0.9,1.8,6957105
"Al Horford","C","BOS","2018-19","Est","Front","No",32,29,0.36,0.604,0.821,1.8,5,4.2,0.9,1.3,1.5,1.9,28928710
"Alec Burks","SG","SAC","2018-19","Est","Back","No",27,21.5,0.363,0.428,0.823,0.5,3.2,2,0.6,0.3,1,1.4,11536515
"Álex Abrines","SG","OKC","2018-19","West","Back","No",25,19,0.323,0.5,0.923,0.2,1.4,0.6,0.5,0.2,0.5,1.7,3667645
"Alex Caruso","PG","LAL","2018-19","West","Back","No",24,21.2,0.48,0.431,0.797,0.8,1.9,3.1,1,0.4,1.7,2.2,77250
"Alex Len","C","ATL","2018-19","Est","Front","No",25,20.1,0.363,0.554,0.648,2.1,3.5,1.1,0.4,0.9,1.3,2.6,4350000
"Alex Poythress","PF","ATL","2018-19","Est","Front","No",25,14.5,0.391,0.534,0.621,1.4,2.2,0.8,0.2,0.5,0.6,2.2,77250
"Alfonzo McKinnie","SF","GSW","2018-19","West","Front","No",26,13.9,0.356,0.586,0.563,1.1,2.3,0.4,0.3,0.2,0.4,1.9,1349383
"Allen Crabbe","SG","BRK","2018-19","Est","Back","No",26,26.3,0.378,0.342,0.732,0.4,3.1,1.1,0.5,0.3,1.1,2.4,19332500
"Allonzo Trier","SG","NYK","2018-19","Est","Back","No",23,22.8,0.394,0.466,0.803,0.5,2.6,1.9,0.4,0.2,1.8,1.8,3382000
"Amir Johnson","C","PHI","2018-19","Est","Front","No",31,10.4,0.3,0.573,0.756,0.9,2,1.2,0.3,0.3,0.9,1.9,2393887
"Andre Drummond","C","DET","2018-19","Est","Front","No",25,33.5,0.132,0.548,0.59,5.4,10.2,1.4,1.7,1.7,2.2,3.4,25434262
"Andre Iguodala","SF","GSW","2018-19","West","Back","No",35,23.2,0.333,0.652,0.582,0.7,3,3.2,0.9,0.8,0.8,1.4,16000000
"Andrew Harrison","PG","NOP","2018-19","West","Back","No",24,11,0.2,0.393,0.944,0.4,0.8,1.4,0.2,0.1,0.7,2,354500
"Andrew Wiggins","SF","MIN","2018-19","West","Front","No",23,34.8,0.339,0.441,0.699,1.1,3.7,2.5,1,0.7,1.9,2.1,25467250
"Anfernee Simons","SG","POR","2018-19","West","Back","No",19,7.1,0.345,0.529,0.563,0.2,0.5,0.7,0.1,0,0.6,0.5,1837800
"Anthony Davis","C","NOP","2018-19","West","Front","Yes",25,33,0.331,0.547,0.794,3.1,8.9,3.9,1.6,2.4,2,2.4,25434263
"Anthony Tolliver","PF","MIN","2018-19","West","Front","No",33,16.6,0.377,0.409,0.783,0.2,2.5,0.7,0.3,0.3,0.6,1.4,5750000
"Antonio Blakeney","SG","CHI","2018-19","Est","Back","No",22,14.5,0.396,0.426,0.658,0.1,1.7,0.7,0.2,0.2,0.6,0.7,1349383
"Aron Baynes","C","BOS","2018-19","Est","Front","No",32,16.1,0.344,0.519,0.855,1.7,3,1.1,0.2,0.7,0.8,2.5,5193600
"Austin Rivers","SG","HOU","2018-19","West","Back","No",26,26.7,0.318,0.522,0.526,0.3,1.8,2.2,0.6,0.3,0.9,2.7,13155324
"Avery Bradley","SG","MEM","2018-19","West","Back","No",28,30.2,0.351,0.446,0.86,0.7,2.1,2.4,0.7,0.3,1.4,2.7,12000000
"Bam Adebayo","C","MIA","2018-19","Est","Front","No",21,23.3,0.2,0.588,0.735,2,5.3,2.2,0.9,0.8,1.5,2.5,2955840
"Ben McLemore","SG","SAC","2018-19","West","Back","No",25,8.3,0.415,0.348,0.667,0.2,0.7,0.2,0.3,0.2,0.3,1.2,5460000
"Ben Simmons","PG","PHI","2018-19","Est","Back","Yes",22,34.2,0,0.566,0.6,2.2,6.6,7.7,1.4,0.8,3.5,2.6,6434520
"Blake Griffin","PF","DET","2018-19","Est","Front","Yes",29,35,0.362,0.525,0.753,1.3,6.2,5.4,0.7,0.4,3.4,2.7,31873932
"Boban Marjanovic","C","PHI","2018-19","West","Front","No",30,11.7,0.4,0.624,0.748,1.5,3.1,0.9,0.3,0.5,1,1.6,9490740
"Bobby Portis","PF","WAS","2018-19","Est","Front","No",23,26,0.393,0.467,0.794,2.2,5.9,1.4,0.7,0.4,1.5,2.9,2494346
"Bogdan Bogdanovic","SG","SAC","2018-19","West","Back","No",26,27.8,0.36,0.462,0.827,0.6,2.9,3.8,1,0.2,1.7,2,9000000
"Bojan Bogdanovic","SF","IND","2018-19","Est","Front","No",29,31.8,0.425,0.538,0.807,0.4,3.7,2,0.9,0,1.7,1.7,10500000
"Brad Wanamaker","PG","BOS","2018-19","Est","Back","No",29,9.5,0.41,0.515,0.857,0.1,1.1,1.6,0.3,0.1,0.5,0.9,838464
"Bradley Beal","SG","WAS","2018-19","Est","Back","Yes",25,36.9,0.351,0.548,0.808,1.1,3.9,5.5,1.5,0.7,2.7,2.8,25434262
"Brandon Ingram","SF","LAL","2018-19","West","Front","No",21,33.8,0.33,0.521,0.675,0.8,4.3,3,0.5,0.6,2.5,2.9,5757120
"Brandon Knight","PG","CLE","2018-19","West","Back","No",27,18.9,0.318,0.443,0.794,0.3,1.3,1.8,0.5,0.1,0.8,1.6,14631250
"Brandon Sampson","SG","CHI","2018-19","Est","Back","No",21,15.3,0.379,0.548,0.667,0.2,0.9,0.7,0.6,0.2,0.9,1.4,77250
"Brook Lopez","C","MIL","2018-19","Est","Front","No",30,28.7,0.365,0.613,0.842,0.4,4.5,1.2,0.6,2.2,1,2.3,3382000
"Bruce Brown","SG","DET","2018-19","Est","Back","No",22,19.6,0.258,0.457,0.75,0.6,1.9,1.2,0.5,0.5,0.6,2.4,838464
"Bryn Forbes","SG","SAS","2018-19","West","Back","No",25,28,0.426,0.489,0.885,0.2,2.7,2.1,0.5,0,1,1.9,3125000
"Buddy Hield","SG","SAC","2018-19","West","Back","No",26,31.9,0.427,0.487,0.886,1.3,3.7,2.5,0.7,0.4,1.8,2.5,3833760
"Caleb Swanigan","PF","SAC","2018-19","West","Front","No",21,8.5,0.143,0.37,0.667,0.8,2.2,0.5,0.3,0,0.9,1.3,1740000
"Cameron Payne","PG","CLE","2018-19","Est","Back","No",24,17.8,0.298,0.511,0.805,0.3,1.5,2.7,0.7,0.2,1.1,1.6,3440356
"Caris LeVert","SF","BRK","2018-19","Est","Back","No",24,26.6,0.312,0.483,0.691,0.9,2.9,3.9,1.1,0.4,1.7,1.9,1702800
"Carmelo Anthony","PF","HOU","2018-19","West","Front","No",34,29.4,0.328,0.491,0.682,0.9,4.5,0.5,0.4,0.7,0.8,3.2,2393887
"Cedi Osman","SF","CLE","2018-19","Est","Front","No",23,32.2,0.348,0.489,0.779,0.6,4.1,2.6,0.8,0.1,1.5,2.6,2775000
"Chandler Hutchison","SF","CHI","2018-19","Est","Front","No",22,20.3,0.28,0.516,0.605,0.7,3.5,0.8,0.5,0.1,0.6,1.3,1991520
"Chandler Parsons","SF","MEM","2018-19","West","Front","No",30,19.8,0.309,0.443,0.88,0.2,2.6,1.7,0.8,0.2,1.3,1.8,24107258
"Channing Frye","C","CLE","2018-19","Est","Front","No",35,9.5,0.405,0.289,0.786,0.1,1.3,0.6,0.2,0.1,0.4,1.2,2393887
"Chasson Randle","PG","WAS","2018-19","Est","Back","No",25,15.2,0.4,0.441,0.694,0.2,0.9,2,0.5,0.1,0.9,1.9,975824
"Cheick Diallo","PF","NOP","2018-19","West","Front","No",22,14,0.25,0.625,0.746,1.2,4,0.5,0.5,0.5,0.8,1.8,1544951
"Chimezie Metu","PF","SAS","2018-19","West","Front","No",21,5,0,0.339,0.765,0.3,0.9,0.4,0.2,0.1,0.5,0.5,838464
"Chris Boucher","PF","TOR","2018-19","Est","Front","No",26,5.8,0.324,0.564,0.867,0.6,1.4,0.1,0.2,0.9,0.3,1.1,457418
"Chris Paul","PG","HOU","2018-19","West","Back","No",33,32,0.358,0.479,0.862,0.6,3.9,8.2,2,0.3,2.6,2.5,35654150
"Christian Wood","PF","NOP","2018-19","Est","Front","No",23,12,0.346,0.571,0.732,0.8,3.1,0.4,0.3,0.5,0.8,0.8,1512601
"CJ McCollum","SG","POR","2018-19","West","Back","No",27,33.9,0.375,0.506,0.828,0.9,3.1,3,0.8,0.4,1.5,2.5,25759766
"Cody Zeller","C","CHO","2018-19","Est","Front","No",26,25.4,0.273,0.57,0.787,2.2,4.6,2.1,0.8,0.8,1.3,3.3,13528090
"Collin Sexton","PG","CLE","2018-19","Est","Back","No",20,31.8,0.402,0.44,0.839,0.7,2.2,3,0.5,0.1,2.3,2.3,4073760
"Cory Joseph","PG","IND","2018-19","Est","Back","No",27,25.2,0.322,0.454,0.698,0.5,2.9,3.9,1.1,0.3,1,1.6,7945000
"Courtney Lee","SG","DAL","2018-19","Est","Back","No",33,12.6,0.291,0.5,0.667,0.3,1.3,1.1,0.6,0.1,0.4,0.9,12253780
"Cristiano Felício","C","CHI","2018-19","Est","Front","No",26,12.4,0,0.543,0.685,1.3,2.3,0.6,0.2,0.1,0.6,1.2,8470980
"D'Angelo Russell","PG","BRK","2018-19","Est","Back","Yes",22,30.2,0.369,0.482,0.78,0.7,3.2,7,1.2,0.2,3.1,1.7,7019698
"Damian Lillard","PG","POR","2018-19","West","Back","Yes",28,35.5,0.369,0.499,0.912,0.9,3.8,6.9,1.1,0.4,2.7,1.9,27977689
"Damion Lee","SG","GSW","2018-19","West","Back","No",26,11.7,0.397,0.492,0.864,0.3,1.8,0.4,0.4,0,0.3,0.9,77250
"Damyean Dotson","SG","NYK","2018-19","Est","Back","No",24,27.5,0.368,0.461,0.745,0.5,3.1,1.8,0.8,0.1,1,1.8,1378242
"Daniel Hamilton","SG","ATL","2018-19","Est","Back","No",23,10.7,0.348,0.405,0.5,0.5,1.9,1.2,0.3,0.1,0.8,1,1349383
"Daniel Theis","C","BOS","2018-19","Est","Front","No",26,13.8,0.388,0.603,0.737,1.3,2.1,1,0.3,0.6,0.5,2.4,1378242
"Danilo Gallinari","SF","LAC","2018-19","West","Front","No",30,30.3,0.433,0.484,0.904,0.8,5.3,2.6,0.7,0.3,1.5,1.9,21587579
"Danny Green","SG","TOR","2018-19","Est","Back","No",31,27.7,0.455,0.487,0.841,0.8,3.2,1.6,0.9,0.7,0.9,2.1,10000000
"Dante Cunningham","PF","SAS","2018-19","West","Front","No",31,14.5,0.462,0.484,0.778,0.8,2.2,0.8,0.4,0.2,0.3,1.1,2487000
"Dante Exum","PG","UTA","2018-19","West","Back","No",23,15.8,0.29,0.464,0.791,0.4,1.2,2.6,0.3,0.1,1.2,1.6,10600000
"Danuel House","SF","HOU","2018-19","West","Front","No",25,25.1,0.416,0.595,0.789,0.6,2.9,1,0.5,0.3,0.9,2.1,247827
"Dario Šaric","PF","MIN","2018-19","West","Front","No",24,25,0.365,0.499,0.88,1.6,4.1,1.6,0.6,0.1,1.2,2.2,2526840
"Darius Miller","SF","NOP","2018-19","West","Front","No",28,25.5,0.365,0.467,0.789,0.2,1.7,2.1,0.6,0.3,0.9,2.4,2205000
"Darren Collison","PG","IND","2018-19","Est","Back","No",31,28.2,0.407,0.492,0.832,0.5,2.6,6,1.4,0.1,1.6,1.8,10000000
"Daryl Macon","SG","DAL","2018-19","West","Back","No",23,11.3,0.455,0.313,0.571,0.3,1.3,0.9,0.1,0,0.8,1,77250
"David Nwaba","SG","CLE","2018-19","Est","Back","No",26,19.3,0.32,0.545,0.682,0.8,2.4,1.1,0.7,0.3,0.6,2.1,1512601
"Davis Bertans","PF","SAS","2018-19","West","Front","No",26,21.5,0.429,0.513,0.883,0.3,3.2,1.3,0.5,0.4,0.6,1.8,7000000
"De'Aaron Fox","PG","SAC","2018-19","West","Back","No",21,31.4,0.371,0.482,0.727,0.5,3.2,7.3,1.6,0.6,2.8,2.5,5470920
"De'Anthony Melton","PG","PHO","2018-19","West","Back","No",20,19.7,0.305,0.441,0.75,0.5,2.2,3.2,1.4,0.5,1.5,2.3,949000
"Deandre Ayton","C","PHO","2018-19","West","Front","No",20,30.7,0,0.588,0.746,3.1,7.1,1.8,0.9,0.9,1.8,2.9,8175840
"Delon Wright","PG","MEM","2018-19","Est","Back","No",26,22.7,0.298,0.492,0.793,0.9,2.6,3.3,1.2,0.4,1,1.4,2536898
"DeMar DeRozan","SG","SAS","2018-19","West","Back","No",29,34.9,0.156,0.492,0.83,0.7,5.3,6.2,1.1,0.5,2.6,2.3,27739975
"DeMarcus Cousins","C","GSW","2018-19","West","Front","No",28,25.7,0.274,0.551,0.736,1.4,6.8,3.6,1.3,1.5,2.4,3.6,5337000
"DeMarre Carroll","PF","BRK","2018-19","Est","Front","No",32,25.4,0.342,0.457,0.76,1,4.2,1.3,0.5,0.1,1.1,1.7,15400000
"Demetrius Jackson","PG","PHI","2018-19","Est","Back","No",24,6.5,0.333,0.667,1,0.3,0.2,0.8,0.3,0,0.2,0.7,170107
"Dennis Schröder","PG","OKC","2018-19","West","Back","No",25,29.3,0.341,0.45,0.819,0.5,3.1,4.1,0.8,0.2,2.2,2.4,15500000
"Dennis Smith","PG","NYK","2018-19","West","Back","No",21,28.5,0.322,0.477,0.635,0.6,2.3,4.8,1.3,0.4,2.9,2.4,3819960
"Deonte Burton","SG","OKC","2018-19","West","Back","No",25,7.5,0.296,0.455,0.667,0.1,0.8,0.3,0.2,0.3,0.3,1,500000
"Derrick Favors","C","UTA","2018-19","West","Front","No",27,23.2,0.218,0.64,0.675,2.7,4.6,1.2,0.7,1.4,1.1,2.1,16900000
"Derrick Jones","SF","MIA","2018-19","Est","Front","No",21,19.2,0.308,0.567,0.607,1.6,2.4,0.6,0.8,0.7,0.7,2.1,1512601
"Derrick Rose","PG","MIN","2018-19","West","Back","No",30,27.3,0.37,0.509,0.856,0.6,2.1,4.3,0.6,0.2,1.6,1.1,2176260
"Derrick White","PG","SAS","2018-19","West","Back","No",24,25.8,0.338,0.529,0.772,0.5,3.2,3.9,1,0.7,1.4,2.2,1667160
"Devin Booker","SG","PHO","2018-19","West","Back","No",22,35,0.326,0.536,0.866,0.6,3.5,6.8,0.9,0.2,4.1,3.1,3314365
"Devin Harris","PG","DAL","2018-19","West","Back","No",35,15.8,0.31,0.476,0.761,0.2,1.5,1.8,0.5,0.2,0.8,2,2393887
"Devin Robinson","SF","WAS","2018-19","Est","Front","No",23,13.6,0,0.633,0.643,0.9,2,0.9,0.6,0.9,0.3,1.6,77250
"Dewayne Dedmon","C","ATL","2018-19","Est","Front","No",29,25.1,0.382,0.57,0.814,1.6,5.9,1.4,1.1,1.1,1.3,3.3,6300000
"Dillon Brooks","SF","MEM","2018-19","West","Back","No",23,18.3,0.375,0.415,0.733,0.5,1.2,0.9,0.6,0.2,1.1,2.8,1378242
"Dion Waiters","SG","MIA","2018-19","Est","Back","No",27,25.9,0.377,0.471,0.5,0.2,2.5,2.8,0.7,0.2,1.5,1.6,12705000
"Dirk Nowitzki","PF","DAL","2018-19","West","Front","Yes",40,15.6,0.312,0.415,0.78,0.1,3,0.7,0.2,0.4,0.4,1.5,5000000
"Domantas Sabonis","C","IND","2018-19","Est","Front","No",22,24.8,0.529,0.592,0.715,2.5,6.8,2.9,0.6,0.4,2.2,3.2,2659800
"Donovan Mitchell","SG","UTA","2018-19","West","Back","No",22,33.7,0.362,0.468,0.806,0.8,3.3,4.2,1.4,0.4,2.8,2.7,3111480
"Donte DiVincenzo","SG","MIL","2018-19","Est","Back","No",22,15.2,0.265,0.683,0.75,0.6,1.8,1.1,0.5,0.2,0.7,1.4,2484360
"Dorian Finney-Smith","SF","DAL","2018-19","West","Front","No",25,24.5,0.311,0.544,0.709,1.7,3.1,1.2,0.9,0.4,0.9,2.3,1544951
"Doug McDermott","SF","IND","2018-19","Est","Front","No",27,17.4,0.408,0.569,0.835,0.2,1.2,0.9,0.2,0.1,0.5,1.4,7333334
"Dragan Bender","PF","PHO","2018-19","West","Front","No",21,18,0.218,0.688,0.593,0.7,3.2,1.2,0.4,0.5,0.8,2,4661280
"Draymond Green","PF","GSW","2018-19","West","Front","No",28,31.3,0.285,0.549,0.692,0.9,6.4,6.9,1.4,1.1,2.6,3,17469565
"Duncan Robinson","PF","MIA","2018-19","Est","Front","No",24,10.7,0.286,0.727,0.667,0.1,1.1,0.3,0.3,0,0.3,0.7,77250
