"Player.x","Pos1","Tm","Season","Conference","Role","Play","Age","MP","X3P.","X2P.","FT.","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Danilo Gallinari","SF","LAC","2017-18","West","Front","No",29,32,0.324,0.455,0.931,0.4,4.4,2,0.6,0.5,1.2,1.4,20559599
"Danny Green","SG","SAS","2017-18","West","Back","Yes",30,25.6,0.363,0.419,0.769,0.6,3,1.6,0.9,1.1,1.1,1.7,10000000
"Dante Cunningham","SF","BRK","2017-18","West","Front","No",30,21.4,0.345,0.541,0.596,1.1,3,0.7,0.5,0.4,0.5,1.5,2300000
"Dante Exum","PG","UTA","2017-18","West","Back","No",22,16.8,0.278,0.536,0.806,0.3,1.6,3.1,0.6,0.2,1.4,1.4,4992385
"Danuel House","SG","PHO","2017-18","West","Front","No",24,17.5,0.259,0.577,0.806,0.6,2.7,1.1,0.3,0.3,0.5,1,77250
"Dario Šaric","PF","PHI","2017-18","Est","Front","No",23,29.6,0.393,0.501,0.86,2,4.7,2.6,0.7,0.3,1.9,2.1,2422560
"Darius Miller","SF","NOP","2017-18","West","Front","No",27,23.7,0.411,0.535,0.866,0.2,1.8,1.4,0.3,0.2,0.7,2,2100000
"Darrell Arthur","PF","DEN","2017-18","West","Front","No",29,7.4,0.348,0.583,0.667,0.2,0.6,0.5,0.4,0.2,0.8,1.2,7464912
"Darren Collison","PG","IND","2017-18","Est","Back","No",30,29.2,0.468,0.508,0.882,0.5,2,5.3,1.3,0.2,1.2,1.8,10000000
"David Nwaba","SG","CHI","2017-18","Est","Back","No",25,23.5,0.346,0.496,0.655,1.3,3.4,1.5,0.8,0.4,1.1,2.3,1312611
"David West","C","GSW","2017-18","West","Front","No",37,13.7,0.375,0.576,0.759,0.9,2.4,1.9,0.6,1,1.1,1.6,2328652
"Davis Bertans","PF","SAS","2017-18","West","Front","No",25,14.1,0.373,0.588,0.816,0.2,1.8,1,0.3,0.4,0.5,1.2,1312611
"Davon Reed","SG","PHO","2017-18","West","Back","No",22,11.5,0.289,0.289,0.667,0.1,1.8,0.6,0.5,0.1,0.5,0.8,815615
"De'Aaron Fox","PG","SAC","2017-18","West","Back","No",20,27.8,0.307,0.436,0.723,0.5,2.3,4.4,1,0.3,2.4,2.2,4609200
"DeAndre Liggins","SG","NOP","2017-18","Est","Back","No",29,12.5,0.358,0.396,0.4,0.1,1.2,0.8,0.6,0.2,0.3,1.4,1505942
"Dejounte Murray","PG","SAS","2017-18","West","Back","No",21,21.5,0.265,0.454,0.709,1.4,4.3,2.9,1.2,0.4,1.7,1.9,1312611
"Delon Wright","PG","TOR","2017-18","Est","Back","No",25,20.8,0.366,0.52,0.829,0.7,2.2,2.9,1,0.5,1.1,1.2,1645200
"DeMar DeRozan","SG","TOR","2017-18","Est","Back","Yes",28,33.9,0.31,0.494,0.825,0.7,3.2,5.2,1.1,0.3,2.2,1.9,27739975
"DeMarcus Cousins","C","NOP","2017-18","West","Front","No",27,36.2,0.354,0.53,0.746,2.2,10.7,5.4,1.6,1.6,5,3.8,18063850
"DeMarre Carroll","PF","BRK","2017-18","Est","Front","No",31,29.9,0.371,0.457,0.764,1.4,5.1,2,0.8,0.4,1.4,2.3,14800000
"Demetrius Jackson","PG","PHI","2017-18","West","Back","No",23,5.3,0.143,0.545,0.5,0.3,0.5,0.6,0.3,0.1,0.7,0.5,319266
"Dennis Schröder","PG","ATL","2017-18","Est","Back","No",24,31,0.29,0.48,0.849,0.7,2.4,6.2,1.1,0.1,2.7,2.2,15500000
"Dennis Smith","PG","DAL","2017-18","West","Back","No",20,29.7,0.313,0.435,0.694,0.7,3,5.2,1,0.3,2.8,2.2,3218280
"Denzel Valentine","SG","CHI","2017-18","Est","Front","No",24,27.2,0.386,0.45,0.745,0.6,4.5,3.2,0.8,0.1,1.3,2.4,2186400
"Derrick Favors","C","UTA","2017-18","West","Front","No",26,28,0.222,0.596,0.651,2.6,4.6,1.3,0.7,1.1,1.1,2.1,12000000
"Derrick Jones","SF","MIA","2017-18","Est","Back","No",20,12.3,0.167,0.514,0.667,1.1,0.9,0.5,0.2,0.7,0.4,1.2,462875
"Derrick Rose","PG","MIN","2017-18","Est","Back","No",29,16.8,0.233,0.474,0.87,0.5,0.9,1.5,0.3,0.2,1.4,0.6,2533488
"Derrick Walton","PG","MIA","2017-18","Est","Back","No",22,9.2,0.412,0.125,1,0.1,0.9,1,0.4,0.2,0.1,0.4,77250
"Derrick White","PG","SAS","2017-18","West","Back","No",23,8.2,0.615,0.4,0.7,0.3,1.2,0.5,0.2,0.2,0.4,0.5,1404600
"Devin Booker","SG","PHO","2017-18","West","Back","No",21,34.5,0.383,0.46,0.878,0.5,4,4.7,0.9,0.3,3.6,3.1,2319360
"Devin Harris","PG","DEN","2017-18","West","Back","No",34,18.9,0.348,0.476,0.835,0.2,1.6,2.1,0.7,0.2,1.1,2.2,4402546
"Dewayne Dedmon","C","ATL","2017-18","Est","Front","No",28,24.9,0.355,0.595,0.779,1.6,6.3,1.5,0.6,0.8,1.4,2.6,6900000
"Dillon Brooks","SF","MEM","2017-18","West","Front","No",22,28.7,0.356,0.484,0.747,0.6,2.5,1.6,0.9,0.2,1.5,2.8,815615
"Dion Waiters","SG","MIA","2017-18","Est","Back","No",26,30.6,0.306,0.463,0.739,0.3,2.3,3.8,0.8,0.3,2.3,2,12100000
"Dirk Nowitzki","C","DAL","2017-18","West","Front","No",39,24.7,0.409,0.494,0.898,0.3,5.4,1.6,0.6,0.6,0.7,1.9,5000000
"Domantas Sabonis","C","IND","2017-18","Est","Front","No",21,24.5,0.351,0.524,0.75,2.2,5.5,2,0.5,0.4,1.9,3,2550000
"Donovan Mitchell","SG","UTA","2017-18","West","Back","No",21,33.4,0.34,0.502,0.805,0.7,3.1,3.7,1.5,0.3,2.7,2.7,2621280
"Dorian Finney-Smith","PF","DAL","2017-18","West","Front","No",24,21.3,0.299,0.481,0.733,1,2.5,1.2,0.5,0.2,1,2,1312611
"Doug McDermott","SF","DAL","2017-18","Est","Front","No",26,21.8,0.426,0.497,0.79,0.5,2,1,0.2,0.2,0.7,1.5,3294994
"Dragan Bender","PF","PHO","2017-18","West","Front","No",20,25.2,0.366,0.426,0.765,0.5,3.9,1.6,0.3,0.6,1.4,2,4468800
"Draymond Green","PF","GSW","2017-18","West","Front","No",27,32.7,0.301,0.562,0.775,1.1,6.6,7.3,1.4,1.3,2.9,2.6,16400000
"Dwayne Bacon","SG","CHO","2017-18","Est","Front","No",22,13.5,0.256,0.409,0.8,0.1,2.3,0.7,0.3,0,0.4,0.9,815615
"Dwight Buycks","PG","DET","2017-18","Est","Back","No",28,14.7,0.333,0.438,0.878,0.4,1,2,0.7,0.1,1.3,1.3,748160
"Dwight Howard","C","CHO","2017-18","Est","Front","No",32,30.4,0.143,0.559,0.574,3.1,9.3,1.3,0.6,1.6,2.6,3.1,23500000
"Dwight Powell","C","DAL","2017-18","West","Front","No",26,21.2,0.333,0.656,0.719,1.7,3.9,1.2,0.8,0.4,0.7,2.4,9003125
"Dwyane Wade","SG","MIA","2017-18","Est","Back","No",36,22.9,0.288,0.468,0.714,0.7,3,3.4,0.9,0.7,2.1,1.9,17878652
"E'Twaun Moore","SG","NOP","2017-18","West","Back","No",28,31.5,0.425,0.556,0.706,0.7,2.2,2.3,1,0.1,1.2,2.2,8445024
"Ed Davis","C","POR","2017-18","West","Front","No",28,18.9,0,0.584,0.667,2.3,5,0.5,0.4,0.7,0.8,2.4,6352531
"Ekpe Udoh","C","UTA","2017-18","West","Front","No",30,12.9,0,0.504,0.75,1.1,1.3,0.8,0.7,1.2,0.3,1.7,3200000
"Elfrid Payton","PG","PHO","2017-18","Est","Back","No",23,28.7,0.326,0.52,0.649,1,3.3,6.2,1.3,0.3,2.7,2.3,3332340
"Emmanuel Mudiay","PG","NYK","2017-18","West","Back","No",21,19.5,0.318,0.415,0.76,0.4,2,3.2,0.6,0.2,1.8,1.3,3381480
"Enes Kanter","C","NYK","2017-18","Est","Front","No",25,25.8,0,0.594,0.848,3.8,7.1,1.5,0.5,0.5,1.7,2.6,17884176
"Eric Bledsoe","PG","MIL","2017-18","Est","Back","No",28,31.4,0.347,0.545,0.795,0.7,3.1,5,2,0.6,2.9,2.5,14500000
"Eric Gordon","SG","HOU","2017-18","West","Back","No",29,31.2,0.359,0.544,0.809,0.4,2.1,2.2,0.6,0.4,1.9,1.7,12943020
"Ersan Ilyasova","PF","PHI","2017-18","Est","Front","No",30,25.1,0.36,0.517,0.778,1.7,4.2,1.3,0.9,0.4,1,2.3,6514288
"Evan Fournier","SF","ORL","2017-18","Est","Front","No",25,32.2,0.379,0.516,0.867,0.4,2.8,2.9,0.8,0.3,1.7,2.4,17000000
"Evan Turner","SF","POR","2017-18","West","Back","No",29,25.7,0.318,0.485,0.85,0.4,2.7,2.2,0.6,0.4,1.3,2.1,17131148
"Frank Kaminsky","PF","CHO","2017-18","Est","Front","No",24,23.2,0.38,0.459,0.799,0.6,3.1,1.6,0.5,0.2,0.8,1.2,2847600
